x('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         605401 function calls (588135 primitive calls) in 1.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      519    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       64    0.000    0.000    0.000    0.000 events.py:32(__init__)
       74    0.000    0.000    0.000    0.000 _make.py:2882(__init__)
       42    0.000    0.000    0.001    0.000 streams.py:492(_read_nowait)
        1    0.000    0.000    0.003    0.003 subprocess.py:452(run)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
    316/4    0.000    0.000    0.281    0.070 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1725    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       10    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      933    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
       83    0.000    0.000    0.002    0.000 streams.py:389(readany)
      136    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      826    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      183    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       71    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      276    0.000    0.000    0.000    0.000 types.py:171(__get__)
        2    0.000    0.000    0.004    0.002 platform.py:746(uname)
        1    0.000    0.000    0.001    0.001 ipaddress.py:4(<module>)
      957    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        4    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
       36    0.000    0.000    0.003    0.000 _make.py:359(_make_attr_tuple_class)
      436    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      141    0.000    0.000    0.000    0.000 client_proto.py:172(_reschedule_timeout)
       36    0.000    0.000    0.000    0.000 _make.py:1702(append_hash_computation_lines)
      366    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       55    0.000    0.000    0.000    0.000 base_events.py:1766(_add_callback)
       89    0.000    0.000    0.001    0.000 enum.py:927(__or__)
      172    0.000    0.000    0.011    0.000 _make.py:320(_compile_and_eval)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:111(_path_isabs)
      574    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      188    0.000    0.000    0.001    0.000 ssl.py:879(read)
      596    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      326    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
      373    0.000    0.000    0.001    0.000 typing.py:358(<genexpr>)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       58    0.000    0.000    0.000    0.000 base_events.py:738(_call_soon)
       48    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
      321    0.000    0.000    0.094    0.000 re.py:250(compile)
      458    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.002    0.002 subprocess.py:736(__init__)
    48/28    0.000    0.000    0.176    0.006 {built-in method builtins.__import__}
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       33    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
        1    0.000    0.000    0.001    0.001 subprocess.py:1552(_execute_child)
        1    0.000    0.000    0.032    0.032 http_parser.py:1(<module>)
       71    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       46    0.000    0.000    0.000    0.000 base_events.py:420(create_future)
      115    0.000    0.000    0.002    0.000 typing.py:802(__getitem__)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       51    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      265    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      418    0.000    0.000    0.000    0.000 typing.py:324(__eq__)
        1    0.000    0.000    0.000    0.000 _url.py:58(URL)
       52    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
       13    0.000    0.000    0.003    0.000 enum.py:430(_create_)
      956    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       29    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
        1    0.000    0.000    0.003    0.003 platform.py:603(_syscmd_uname)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
      175    0.000    0.000    0.000    0.000 _make.py:1150(_determine_attrib_eq_order)
       46    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
      184    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:586(__init__)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      246    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 client.py:898(_prepare_headers)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       35    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
      136    0.000    0.000    0.000    0.000 _make.py:1662(_generate_unique_filename)
       47    0.000    0.000    0.092    0.002 financial_enhanced.py:8(main)
      981    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 subprocess.py:1101(_close_pipe_fds)
       69    0.000    0.000    0.002    0.000 abc.py:84(__new__)
      202    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 client.py:768(HTTPConnection)
        1    0.000    0.000    0.902    0.902 base_events.py:557(run_forever)
      115    0.000    0.000    0.000    0.000 base_events.py:662(time)
        1    0.000    0.000    0.026    0.026 dammit.py:2310(EntitySubstitution)
       34    0.000    0.000    0.002    0.000 _make.py:979(add_hash)
      337    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       52    0.000    0.000    0.031    0.001 selector_events.py:804(_read_ready)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       42    0.000    0.000    0.002    0.000 streams.py:347(read)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       35    0.000    0.000    0.001    0.000 _make.py:573(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 streams.py:88(StreamReader)
        1    0.000    0.000    0.005    0.005 hdrs.py:1(<module>)
       58    0.000    0.000    0.000    0.000 base_events.py:709(call_soon)
        1    0.000    0.000    0.001    0.001 client.py:164(ClientSession)
        3    0.000    0.000    0.108    0.036 __init__.py:2(<module>)
        1    0.000    0.000    0.063    0.063 css_parser.py:1(<module>)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1551(_ip_int_from_string)
        5    0.000    0.000    0.007    0.001 client.py:363(_request)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
       43    0.000    0.000    0.000    0.000 helpers.py:275(current_task)
        1    0.000    0.000    0.014    0.014 http_websocket.py:1(<module>)
      629    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      249    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       10    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
       29    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x109f3b040}
       54    0.000    0.000    0.000    0.000 _make.py:401(_is_class_var)
